# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	2043
#@/user_id	Home-PC
a 	啊	c=0 d=0.000171216 t=2043
jiu yao 	就要	c=1 d=0.00021605 t=2043
jiu zai 	就在	c=1 d=0.0266491 t=2043
ju ran shi 	居然是	c=1 d=0.000122182 t=2043
ju xian 	侷限	c=1 d=0.244143 t=2043
jue din 	覺𨈖	c=1 d=0.32628 t=2043
jue ding 	決定	c=1 d=0.327915 t=2043
ka 	卡	c=1 d=0.0071546 t=2043
kai 	開	c=2 d=0.0026223 t=2043
kai fa 	開發	c=1 d=0.161218 t=2043
kai fa ban 	開發板	c=1 d=0.00511796 t=2043
kai qi 	開啓	c=2 d=0.000292288 t=2043
kai shi 	開始	c=3 d=0.205769 t=2043
kai yi ge 	開一個	c=1 d=0.025223 t=2043
kai yuan 	開源	c=1 d=0.00369786 t=2043
kan 	看	c=3 d=0.0807246 t=2043
kan bu chu lai 	看不出來	c=2 d=0.202043 t=2043
kan dao 	看到	c=0 d=0.0063609 t=2043
kan dao ma 	看到嗎	c=1 d=0.0639279 t=2043
kan kan 	看看	c=3 d=0.985696 t=2043
kan le 	看了	c=1 d=0.085435 t=2043
kan qi lai 	看起來	c=1 d=0.400517 t=2043
kan yi xia 	看一下	c=2 d=0.377233 t=2043
kao lv 	考慮	c=0 d=7.5227e-06 t=2043
ke xing 	可行	c=1 d=5.17027e-05 t=2043
ke xue 	科學	c=1 d=0.000139842 t=2043
ke yi 	可以	c=4 d=2.04315 t=2043
ke yi da kai 	可以打開	c=1 d=0.00559994 t=2043
ke yi tong 	可以同	c=1 d=0.798516 t=2043
kong shan 	空山	c=1 d=0.99005 t=2043
kong zhi 	控制	c=3 d=0.00088884 t=2043
kuai 	塊	c=1 d=0.0238732 t=2043
kuai jie 	快捷	c=1 d=8.56707e-05 t=2043
kuai su 	快速	c=1 d=0.00216573 t=2043
kuang 	框	c=2 d=0.00259045 t=2043
kuang jia 	框架	c=1 d=6.15907e-05 t=2043
le 	了	c=31 d=5.7041 t=2043
lei xing 	類型	c=2 d=0.352349 t=2043
li jie 	理解	c=1 d=0.00051312 t=2043
li shi 	歷史	c=1 d=0.0145524 t=2043
lian 	連	c=0 d=0.00682212 t=2043
lian bu shang 	連不上	c=1 d=0.024234 t=2043
lian jie 	連接	c=4 d=0.0328046 t=2043
lian jie 	鏈接	c=1 d=0.00109719 t=2043
lian xu 	連續	c=1 d=0.00267181 t=2043
lian zhe ge 	連這個	c=1 d=0.0685632 t=2043
liang 	樑	c=1 d=0.000508015 t=2043
liang ge 	兩個	c=1 d=0.00103736 t=2043
liang ge xie yi 	兩個協議	c=1 d=0.00932553 t=2043
liang miao 	兩秒	c=1 d=0.000262568 t=2043
liao tian 	聊天	c=2 d=0.00173053 t=2043
lin shi 	臨時	c=2 d=0.0017219 t=2043
ling luan 	凌亂	c=1 d=0.000177774 t=2043
liu 	流	c=3 d=0.000294441 t=2043
liu cheng 	流程	c=2 d=0.0169798 t=2043
liu lan qi 	瀏覽器	c=2 d=0.746683 t=2043
liu shui hao 	流水號	c=2 d=0.989454 t=2043
lu xiang 	錄像	c=2 d=0.0146728 t=2043
luo ji 	邏輯	c=1 d=0.00226696 t=2043
luo ji shi 	邏輯是	c=1 d=0.00308872 t=2043
luo suo 	羅嗦	c=1 d=0.00603608 t=2043
luo xia 	落霞	c=2 d=0.00374699 t=2043
luo xia gu wu 	落霞孤鶩	c=1 d=9.56323e-05 t=2043
lv 	呂	c=1 d=0.000387808 t=2043
ma 	嗎	c=19 d=1.363 t=2043
ma 	碼	c=2 d=0.119139 t=2043
ma 	麻	c=1 d=0.0875977 t=2043
mang qu 	盲區	c=1 d=0.151335 t=2043
me 	麼	c=3 d=0.506035 t=2043
mei 	沒	c=1 d=0.0467401 t=2043
mei ci 	每次	c=1 d=0.00467 t=2043
